,Month,IVF centre,Patients waiting,Number of patients waiting 0 to 13 weeks,Number of patients waiting 14 to 26 weeks,Number of patients waiting 27 to 39 weeks,Number of patients waiting 40 to 52 weeks,Number waiting over 52 weeks,Number waiting within 52 weeks,Percentage of people waiting 0 to 13 weeks,Percentage of people waiting 14 to 26 weeks,Percentage of people waiting 27 to 39 weeks,Percentage of people waiting 40 to 52 weeks,Percentage of people waiting over 52 weeks,Percentage waiting within 52 weeks
0,01/03/14,Scotland,,,,,,,,,,,,,
1,01/03/14,Aberdeen,74.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,100.0
2,01/03/14,Dundee,58.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,100.0
3,01/03/14,Edinburgh,264.0,0.0,0.0,0.0,0.0,2.0,262.0,0.0,0.0,0.0,0.0,0.8,99.2
4,01/03/14,Glasgow,,,,,,,,,,,,,
5,01/04/14,Scotland,,,,,,,,,,,,,
6,01/04/14,Aberdeen,82.0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,1.2,98.8
7,01/04/14,Dundee,66.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,100.0
8,01/04/14,Edinburgh,271.0,0.0,0.0,0.0,0.0,2.0,269.0,0.0,0.0,0.0,0.0,0.7,99.3
9,01/04/14,Glasgow,,,,,,,,,,,,,
10,01/05/14,Scotland,,,,,,,,,,,,,
11,01/05/14,Aberdeen,96.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0
12,01/05/14,Dundee,89.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,100.0
13,01/05/14,Edinburgh,291.0,0.0,0.0,0.0,0.0,2.0,289.0,0.0,0.0,0.0,0.0,0.7,99.3
14,01/05/14,Glasgow,,,,,,,,,,,,,
15,01/06/14,Scotland,,,,,,,,,,,,,
16,01/06/14,Aberdeen,106.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,100.0
17,01/06/14,Dundee,79.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,100.0
18,01/06/14,Edinburgh,289.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,100.0
19,01/06/14,Glasgow,,,,,,,,,,,,,
20,01/07/14,Scotland,,,,,,,,,,,,,
21,01/07/14,Aberdeen,99.0,0.0,0.0,0.0,0.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,99.0
22,01/07/14,Dundee,77.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,100.0
23,01/07/14,Edinburgh,337.0,0.0,0.0,0.0,0.0,3.0,334.0,0.0,0.0,0.0,0.0,0.9,99.1
24,01/07/14,Glasgow,,,,,,,,,,,,,
25,01/08/14,Scotland,,,,,,,,,,,,,
26,01/08/14,Aberdeen,98.0,0.0,0.0,0.0,0.0,1.0,97.0,0.0,0.0,0.0,0.0,1.0,99.0
27,01/08/14,Dundee,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,100.0
28,01/08/14,Edinburgh,316.0,0.0,0.0,0.0,0.0,3.0,313.0,0.0,0.0,0.0,0.0,0.9,99.1
29,01/08/14,Glasgow,,,,,,,,,,,,,
30,01/09/14,Scotland,,,,,,,,,,,,,
31,01/09/14,Aberdeen,87.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,100.0
32,01/09/14,Dundee,68.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,100.0
33,01/09/14,Edinburgh,285.0,0.0,0.0,0.0,0.0,2.0,283.0,0.0,0.0,0.0,0.0,0.7,99.3
34,01/09/14,Glasgow,,,,,,,,,,,,,
35,01/10/14,Scotland,,,,,,,,,,,,,
36,01/10/14,Aberdeen,73.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,100.0
37,01/10/14,Dundee,95.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,100.0
38,01/10/14,Edinburgh,253.0,0.0,0.0,0.0,0.0,2.0,251.0,0.0,0.0,0.0,0.0,0.8,99.2
39,01/10/14,Glasgow,,,,,,,,,,,,,
40,01/11/14,Scotland,,,,,,,,,,,,,
41,01/11/14,Aberdeen,69.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,100.0
42,01/11/14,Dundee,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,100.0
43,01/11/14,Edinburgh,220.0,0.0,0.0,0.0,0.0,3.0,217.0,0.0,0.0,0.0,0.0,1.4,98.6
44,01/11/14,Glasgow,,,,,,,,,,,,,
45,01/12/14,Scotland,,,,,,,,,,,,,
